symbol,method,timestamp,lookforward_window,scaling_factor,min_exceedance_threshold,volatility_window,window_penalty_weight,balance_weight,target_balance_ratio,adaptive_scaling,returns,dataset_size,sample_efficiency,barrier_width,min_return_threshold,normalize_by_volatility,transaction_cost,neutral_reward_factor,omega,marginal_change_thres,window_size
M6AU4_inputs_only_dataset_20250909_140914,triple_exceedance,2025-09-11T19:06:39.300383,2710.0,3.5215762162684343,0.3242825933487772,19.670917566131244,0.16463443533738545,0.7390574732680736,0.35385511082010607,0.39442414180168267,-0.004707321239279997,21854618,28.59807478675674,,,,,,,,
M6AU4_inputs_only_dataset_20250909_140914,triple_barrier,2025-09-11T19:06:39.299924,1040.0,,,18.27092127760512,,,,,-0.027569277966637995,21854618,28.59807478675674,0.00017346959343573183,2.9873202023985137e-05,0.14409126772159359,,,,,
M6AU4_inputs_only_dataset_20250909_140914,oracle_ternary,2025-09-11T19:06:39.299743,,,,,,,,,0.025847353079175017,21854618,28.59807478675674,,,,7.943575156160774e-05,0.3395193070794514,,,
M6AU4_inputs_only_dataset_20250909_140914,oracle_binary,2025-09-11T19:06:39.299404,,,,,,,,,0.04139676650822187,21854618,28.59807478675674,,,,9.72918866945795e-05,,,,
M6AU4_inputs_only_dataset_20250909_140914,binary_ctl,2025-09-11T19:06:39.297483,,,,,,,,,0.05559797859899901,21854618,28.59807478675674,,,,,,3.6187241289632586e-05,,
M6AU4_inputs_only_dataset_20250909_140914,ternary_ctl,2025-09-11T19:06:39.299202,,,,,,,,,0.1058006278730876,21854618,28.59807478675674,,,,,,,6.506676052501415e-06,18.0
M6AM4_inputs_only_dataset_20250909_140944,triple_exceedance,2025-09-11T19:12:22.569700,2202.0,3.416145155592091,0.10823379771832098,48.79639408647977,0.26648852816008434,0.3274034664069657,0.2772737450810651,0.18340450985343382,-0.007561784568177489,15089079,41.4206857820812,,,,,,,,
M6AM4_inputs_only_dataset_20250909_140944,triple_barrier,2025-09-11T19:12:22.569533,1221.0,,,16.779954481030998,,,,,-0.02462185724956664,15089079,41.4206857820812,0.00015002914077118975,2.1591468571567767e-05,0.1071612137359972,,,,,
M6AM4_inputs_only_dataset_20250909_140944,oracle_ternary,2025-09-11T19:12:22.569379,,,,,,,,,0.019290298629119434,15089079,41.4206857820812,,,,7.054131810198026e-05,0.30221957465244076,,,
M6AM4_inputs_only_dataset_20250909_140944,oracle_binary,2025-09-11T19:12:22.569210,,,,,,,,,0.030916372717046493,15089079,41.4206857820812,,,,8.491983767203797e-05,,,,
M6AM4_inputs_only_dataset_20250909_140944,binary_ctl,2025-09-11T19:12:22.567716,,,,,,,,,0.03058550953782736,15089079,41.4206857820812,,,,,,4.941185300810373e-05,,
M6AM4_inputs_only_dataset_20250909_140944,ternary_ctl,2025-09-11T19:12:22.569011,,,,,,,,,0.0616375056079594,15089079,41.4206857820812,,,,,,,4.9258555393333146e-06,35.0
